isrc,path,value
GBUM71905142,Lyrics/Lyric Theme,Motion
GBUM71905142,Lyrics/Lyric Theme/Feelings,Gratitude
GBUM71905142,Lyrics/Lyric Theme/Feelings,Confidence
GBUM71905142,Lyrics/Lyric Theme/Feelings/Confidence,Hope
GBUM71905142,Lyrics/Lyric Theme/Feelings/Gratitude,Help
GBUM71905142,Lyrics/Lyric Theme/Motion,Action
GBUM71905142,Lyrics/Lyric Theme/Motion/Action,Relax
GBUM71905142,Origin/Applicable Dates/Originally Released Date,2020-01
GBUM71905142,Origin/Relevant Location,Europe
GBUM71905142,Origin/Relevant Location/Europe,Bailiwick of Guernsey
GBUM71905142,Origin/Relevant Location/Europe,United Kingdom
GBUM71905142,Performance/Ensemble/Ensemble Timbre,Electric
GBUM71905142,Performance/Instrument,Bass
GBUM71905142,Performance/Instrument,Drum Machine
GBUM71905142,Performance/Instrument,Guitar
GBUM71905142,Performance/Instrument,Strings
GBUM71905142,Performance/Instrument,Wind
GBUM71905142,Performance/Instrument,Synthesizer
GBUM71905142,Performance/Instrument/Bass,Electric Bass Guitar
GBUM71905142,Performance/Instrument/Guitar,Electric Guitar
GBUM71905142,Performance/Instrument/Wind,Saxophone
GBUM71905142,Performance/Instrument/Wind/Saxophone,Baritone Saxophone
GBUM71905142,Performance/Voice,Background Vocals
GBUM71905142,Performance/Voice/Background Vocals,Male Backgrounds
GBUM71905142,Performance/Voice/Lead Vocals,Male
GBUM71905142,Performance/Voice/Vocal Range,Low Vocal Range
GBUM71905142,Anatomy/Arrangement,Voice & Music
GBUM71905142,Anatomy/Harmony/Mode,Major
GBUM71905142,Anatomy/Harmony/Root,D
GBUM71905142,Anatomy/Rhythm & Time/Beat Placement,On The Beat
GBUM71905142,Anatomy/Rhythm & Time/BPM,166
GBUM71905142,Anatomy/Rhythm & Time/Meter,Simple
GBUM71905142,Anatomy/Rhythm & Time/Meter/Simple,4
GBUM71905142,Anatomy/Rhythm & Time/Rhythmic Feel,Breakbeat Feel
GBUM71905142,Anatomy/Rhythm & Time/Rhythmic Feel,Groovy Feel
GBUM71905142,Anatomy/Rhythm & Time/Rhythmic Feel,Simple Feel
