isrc,path,value,,,,,,
USWD10936421,Performance > Ensemble > Ensemble Section > Percussion,Has Percussion,,,,,,
USWD10936421,Performance > Instrument,Percussion,,,,,,
USWD10936421,Performance > Ensemble > Ensemble Section > Choir,No Choir,,,,,,
USWD10936421,Performance > Ensemble > Ensemble Section > String Section,Has Strings,,,,,,
USWD10936421,Performance > Instrument,Strings,,,,,,
USWD10936421,Anatomy > Rhythm & Time > Tempo,Changing Pulse,,,,,,
USWD10936421,Energy > Emotion > Positive,Sweet,,,,,,
USWD10936421,Lyrics > Lyric Theme,None,,,,,,
USWD10936421,Performance > Voice > Vocal Range,None,,,,,,
USWD10936421,Performance > Voice > Lead Vocals,None,,,,,,
USWD10936421,Lyrics > Lyric Language,None,,,,,,
USWD10936421,Application > Version,Studio Version,,,,,,
USWD10936421,Application > Function > Media Music,Score,,,,,,
USWD10936421,Anatomy > Rhythm & Time > Rhythmic Feel,Simple Feel,,,,,,
USWD10936421,Anatomy > Rhythm & Time > Rhythmic Feel,Off-Beat,,,,,,
USWD10936421,Anatomy > Rhythm & Time > Meter > Compound,6,,,,,,
USWD10936421,Application > Playlist > Time > Decade,2000s,,,,,,
USWD10936421,Origin > Applicable Dates > Originally Released Date,*date*,,,,,,
USWD10936421,Genre > Jazz,Jazz-Pop,,,,,,
USWD10936421,Genre,Jazz,,,,,,
USWD10936421,Genre > Classical,Classical Crossover,,,,,,
USWD10936421,Energy > Emotion > Positive,Sweet,,,,,,
USWD10936421,Energy > Emotion > Positive,Contented,,,,,,
USWD10936421,Energy > Emotion > Attitude,Sentimental,,,,,,
USWD10936421,Energy > Emotion > Attitude,Dreamy,,,,,,
USWD10936421,Energy > Emotion > Attitude,Lighthearted,,,,,,
USWD10936421,Origin > Relevant Location > North America,United States,,,,,,
USWD10936421,Anatomy > Rhythm & Time > BPM,*int*,,,,,,
USWD10936421,Energy > Intensity > Low,Low Intensity,,,,,,
USWD10936421,Anatomy > Arrangement,Instrumental,,,,,,
USWD10936421,Energy > Sound Color,Airy,,,,,,
USWD10936421,Energy > Sound Color,Light,,,,,,
USWD10936421,Energy > Sound Color,Warm,,,,,,
USWD10936421,Anatomy > Rhythm & Time > Tempo,Changing Pulse,,,,,,
USWD10936421,Anatomy > Rhythm & Time > Beat Placement,On The Beat,,,,,,
USWD10936421,Anatomy > Structure > Form,Song Form,,,,,,
USWD10936421,Anatomy > Structure > Dynamic Shape,Dynamic,,,,,,
USWD10936421,Anatomy > Structure > Structural Complexity > Complex Structure,Developing,,,,,,
USWD10936421,Anatomy > Harmony > Mode,Major,,,,,,
USWD10936421,Anatomy > Harmony > Root,F,,,,,,
USWD10936421,Performance > Ensemble > Ensemble Configuration,Orchestra,,,,,,
USWD10936421,Performance > Ensemble > Ensemble Section > Choir,No Choir,,,,,,
USWD10936421,Performance > Ensemble > Ensemble Section > Percussion,Has Percussion,,,,,,
USWD10936421,Performance > Ensemble > Ensemble Section > String Section,Has Strings,,,,,,
USWD10936421,Performance > Ensemble > Ensemble Section > Wind Section,Has Winds,,,,,,
USWD10936421,Performance > Ensemble > Ensemble Timbre,Acoustic,,,,,,
USWD10936421,Performance > Instrument > Bass,Upright Bass,,,,,,
USWD10936421,Performance > Instrument,Piano,,,,,,
USWD10936421,Performance > Instrument > Percussion > Percussion Section,Orchestral Percussion,,,,,,
USWD10936421,Performance > Instrument,Percussion,,,,,,
USWD10936421,Performance > Instrument > Strings,Bowed Strings,,,,,,
USWD10936421,Performance > Instrument,Strings,,,,,,
USWD10936421,Performance > Instrument > Wind,Brass,,,,,,
USWD10936421,Performance > Instrument > Wind,Reed,,,,,,
USWD10936421,Performance > Instrument > Wind,Wind,,,,,,
USWD10936421,Anatomy > Rhythm & Time > Tempo > Speed,Slow,,,,,,
USWD10423008,Anatomy > Rhythm & Time > Meter > Simple,4,,,,,,
USWD10423008,Anatomy > Harmony > Mode,Major,,,,,,
USWD10423008,Anatomy > Harmony > Root,C,,,,,,
USWD10423008,Performance > Instrument,Percussion,,,,,,
USWD10423008,Performance > Ensemble > Ensemble Section > Percussion,Has Percussion,,,,,,
USWD10423008,Performance > Ensemble > Ensemble Section > Choir,No Choir,,,,,,
USWD10423008,Performance > Performer > Intensity,Medium,,,,,,
USWD10423008,Performance > Instrument,Drum Set,,,,,,
USWD10423008,Anatomy > Rhythm & Time > Tempo > Speed,Medium,,,,,,
USWD10423008,Performance > Voice > Vocal Range,Low Vocal Range,,,,,,
USWD10423008,Anatomy > Rhythm & Time > BPM,*int*,,,,,,
USWD10423008,Genre,Pop,,,,,,
USWD10423008,Genre > Jazz,Traditional Pop,,,,,,
USWD10423008,Performance > Instrument > Wind,Clarinet,,,,,,
USWD10423008,Performance > Instrument > Wind,Trumpet,,,,,,
USWD10423008,Performance > Instrument > Instrument Technique > Classical,Con sordino,,,,,,
USWD10423008,Performance > Instrument > Strings > Plucked Strings > Banjo,Tenor Banjo,,,,,,
USWD10423008,Performance > Instrument,Piano,,,,,,
USWD10423008,Performance > Instrument > Percussion > Unpitched,Maracas,,,,,,
USWD10423008,Performance > Instrument,Percussion,,,,,,
USWD10423008,Performance > Instrument > Wind,Tuba,,,,,,
USWD10423008,Performance > Instrument,Drum Set,,,,,,
USWD10423008,Performance > Instrument > Strings,Bowed Strings,,,,,,
USWD10423008,Performance > Instrument > Strings,Violin,,,,,,
USWD10423008,Performance > Instrument > Strings,Viola,,,,,,
USWD10423008,Performance > Instrument > Strings,Cello,,,,,,
USWD10423008,Performance > Performer > Intensity,Medium,,,,,,
USWD10423008,Performance > Voice > Lead Vocals,Male,,,,,,
USWD10423008,Performance > Voice > Background Vocals,Child Backgrounds,,,,,,
USWD10423008,Performance > Voice > Vocal Arrangement,Double,,,,,,
USWD10423008,Performance > Voice > Vocal Range > Low Vocal Range,Baritone Voice,,,,,,
USWD10423008,Performance > Voice > Vocal Range,Low Vocal Range,,,,,,
