isrc,path,value
USHR11536621,Anatomy/Rhythm & Time/Rhythmic Feel,Groovy Feel
USHR11536621,Anatomy/Structure/Form,Song Form
USHR11536621,Application/Playlist,Mood
USHR11536621,Lyrics/Lyric Mood,Happy
USHR11536621,Lyrics/Lyric Theme/Love/Romantic,Falling In
USHR11536621,Origin/Relevant Location/North America,United States
USHR11536621,Performance/Voice,Background Vocals
USWD11783601,Performance/Performer/Intensity,Medium
USWD11467130,Anatomy/Rhythm & Time/Rhythmic Feel,Rubato
USWD10322246,Anatomy/Structure/Structural Complexity,Simple Structure
USWD10322246,Performance/Instrument,Strings
USWD10423008,Application/Function/Media Music,Soundtrack
USWD10423008,Genre/Jazz,Traditional Pop
USWD10423008,Lyrics/Lyric Theme,Consciousness
USWD10423008,Lyrics/Lyric Theme/Feelings,Intention
USWD10423008,Performance/Instrument,Guitar
USWD10423008,Performance/Instrument/Strings,Cello
USHR11737936,Anatomy/Structure/Structural Complexity,Simple Structure
USHR11737936,Application/Playlist/Activity,Break-up
USHR11737936,Performance/Voice/Lead Vocals,Female
USWD11677601,Application/Playlist,Mood
USWD11677601,Lyrics/Lyric Theme/Feelings,Confidence
USWD11677601,Lyrics/Lyric Theme/Feelings/Confidence,Strong
USWD11677601,Lyrics/Lyric Theme/Feelings/Intention,Inspiration
USHR11536621,Lyrics/Lyric Theme,Time
USWD10322246,Anatomy/Rhythm & Time/Tempo/Speed,Medium
USWD10322246,Performance/Instrument/Guitar,Electric Guitar
USHR11838412,Anatomy/Rhythm & Time/BPM,119.94
USHR11838412,Anatomy/Rhythm & Time/Tempo,Persistent Pulse
USHR11737993,Energy/Emotion/Positive,Optimistic
USWD11785324,Anatomy/Harmony/Root,D
USWD11785324,Application/Function/Media Music,Soundtrack
USWD11785324,Application/Playlist/Theme,Soundtrack
USWD11467130,Anatomy/Rhythm & Time/Meter,Simple
USWD11467130,Lyrics/Lyric Theme/Conflict/Shame,Fragile
USWD11467130,Performance/Ensemble/Ensemble Section,String Section
USWD10322246,Lyrics/Lyric Theme/Feelings/Confidence,Persevere
USWD11569822,Lyrics/Lyric Theme,Body Parts
USWD11569822,Lyrics/Lyric Theme,Elements
USWD10320942,Anatomy/Arrangement,Voice & Music
USWD10110145,Anatomy/Rhythm & Time/Tempo,Persistent Pulse
USWD10110145,Genre,Rock
USWD10110145,Lyrics/Lyric Theme/Spiritual/Idea,Fate
USWD10110145,Performance/Instrument,Guitar
USWD10110145,Performance/Instrument,Percussion
USWD10110145,Performance/Voice/Lead Vocals,Male
USHR11435914,Application/Playlist/Time/Decade,2010s
USHR11435914,Energy/Emotion/Positive,Uplifting
USHR11435914,Performance/Instrument,Instrument Effect
USWD11992478,Application/Playlist/Theme,Soundtrack
USWD11992478,Performance/Instrument,Percussion
USWD10936421,Anatomy/Rhythm & Time/Meter/Compound,6
USWD10936421,Anatomy/Structure/Dynamic Shape,Dynamic
USWD11783601,Lyrics/Lyric Theme/Consciousness,Remember
USHR11737993,Lyrics/Lyric Theme/Conflict/Stress,Dissatisfaction
USHR11334762,Energy/Emotion,Attitude
USHR11334762,Lyrics/Lyric Theme,Objects
USHR11334762,Performance/Ensemble/Ensemble Section/Choir,No Choir
USHR11637258,Lyrics/Lyric Theme/Love/Breakup,Lost That Loving Feeling
USHR11637258,Performance/Voice/Lead Vocals,Female
USWD10423008,Anatomy/Rhythm & Time/Tempo/Speed,Medium
USWD10935875,Anatomy/Rhythm & Time/Tempo/Speed,Slow
USWD10935875,Energy/Intensity,Low
USWD10935875,Performance/Instrument,Guitar
USHR11738188,Anatomy/Rhythm & Time/BPM,171.04
USHR11738188,Performance/Ensemble/Ensemble Configuration,Rock Band
USWD10935875,Energy/Sound Color,Light
USWD10935875,Energy/Sound Color,Crisp
USWD10935875,Performance/Instrument/Guitar,Electric Guitar
USWD10320942,Application/Playlist/Time/Decade,1960s
USWD10320942,Energy/Intensity/Medium,Medium-High Intensity
USWD10320942,Lyrics/Lyric Theme,Health & Wellness
USWD10320942,Lyrics/Lyric Theme/Objects,Food
USWD10320942,Origin/Applicable Dates/Originally Released Date,8/27/64
USHR11838412,Energy/Intensity/Medium,Medium-High Intensity
USHR11838412,Performance/Instrument,Synthesizer
USHR11536621,Genre,Pop
USHR11536621,Lyrics/Lyric Language/Indo-European,English
USHR11536621,Lyrics/Lyric Theme/Love/Romantic,Crush
USHR11536621,Lyrics/Lyric Theme/Love/Romantic,We Should Be Together
USHR11536621,Performance/Instrument,Instrument Effect
USWD10423008,Anatomy/Rhythm & Time/BPM,103.04
USWD11783601,Application/Function,Media Music
USWD10322246,Application/Playlist/Theme,Soundtrack
